name 	aper   filter corrcount correrr rawcount rawerr  mag   magerr   exp
05hf	2.3	uvw1	0.061 	0.031	0.061 	0.031	20.49	0.56	220.65
05hf	2.3	uvw1	0.062	0.014	0.061	0.014	20.46	0.25	1148.65
05hf	2.3	uvm2	0.031 	0.012	0.027	0.011	20.65	0.44	418.82
05hf	2.3	uvw1	0.091	0.026	0.083	0.024	20.04	0.31	278.10
05hf	2.3	uvw1	0.057	0.014	0.039	0.009	20.54	0.26	1609.03
05hj	1.76	uvm2	0.0019 	0.0041 	0.0081 	0.0035	21.96	0.48	1445.20
05hj	1.76	uvw1	0.039	0.013	0.035	0.012	20.96	0.37	965.94
05hj	1.76	uvw1	0.021 	1 	0.011 	0.013	21.71	1 	362.96
05hj	1.76	uvw1	0.022	0.018	0.015	0.012	21.56	0.88	392.47
05iq	2.9	uvm2	0.028	0.014	0.025	0.012	20.73	0.53	457.00
05iq	2.9	uvw1	0.081 	0.034	0.072	0.031	20.19	0.47	303.47
05iq	2.9	uvm2	0.033	0.006	0.029	0.006	20.56	0.21	2193.69
05iq	2.9	uvw1	0.025	0.014	0.022	0.013	21.46	0.64	1463.38
05ir	1.38	uvm2	0.066	0.016	0.052	0.013	19.81 	0.27	373.55
05ir	1.38	uvw1	0.082	0.031 	0.065	0.024	20.15	0.41 	249.52
05ir	1.38	uvm2	0.021 	0.021 	0.016	0.015	21.09	1.07	136.58
05ir	1.38	uvw1	0.051 	0.041	0.038	0.031	20.69	0.88	90.32
05ir	1.38	uvm2	0.054	0.012	0.041	0.009	20.03	0.25	672.54
05ir	1.38	uvw1	0.089	0.023	0.068	0.018	20.06	0.28	449.12
05ir	1.38	uvm2	0.057	0.029	0.044	0.022	19.95	0.55	140.50
05ir	1.38	uvw1	0.069	0.045	0.053	0.034	20.34	0.71 	93.27
05ir	1.38	uvm2	0.046	0.016	0.035	0.012	20.21 	0.38	276.11
05ir	1.38	uvw1	0.103	0.039	0.079	0.029	19.19 	0.41	184.59
05mc	3.92	uvw1	0.169	0.057	0.118	0.041 	19.37	0.37	357.04
05mc	3.92	uvw1	0.164	0.045	0.115	0.032	19.41 	0.31 	497.79
06ac	4.26	uvw1	0.721 	0.058	0.493	0.041 	17.81 	0.09	456.47
06ak	2.68	uvm2	0.043	0.011 	0.038	0.009	20.25	0.25	737.86
06ak	2.68	uvm2	0.042	0.006	0.036	0.005	20.31 	0.16	2207.59
06ak	2.68	uvw1	0.112	0.021	0.098	0.019	19.82	0.21	985.54
06ak	2.68	uvw1	0.119	0.014	0.092	0.011	19.76	0.13	1816.68
06bu	1.28	uvm2	0.0031 	1 	0.00094	0.00238	23.14	1 	965.80
06bz	3.5	uvm2	0.015	0.013	0.012	0.011	21.42	0.93	285.35
06bz	3.5	uvw1	0.058	0.026	0.048	0.022	20.52	0.49	471.75
06bz	3.5	uvm2	0.022	0.011 	0.018	0.009	20.98	0.51	857.18
06bz	3.5	uvw1	0.073	0.026	0.061	0.022	20.28	0.38	318.43
06bz	3.5	uvm2	0.022	0.009	0.018	0.007	21.01 	0.43	813.66
06bz	3.5	uvw1	0.042	0.031	0.035	0.026	20.89	0.81	310.54
