name aper filter tx mag ba erstat tx1 bb ersys tx2 exp dist type
sn2011ao  8.73615  uvm2          Source: 16.30 +/- 0.03 (stat) +/- 0.03 (sys)  1354.43 47.79 B
sn2011by  33.0609  uvm2          Source: 15.00 +/- 0.02 (stat) +/- 0.03 (sys)  702.23 12.9 nuvb
sn2011by  33.0609  uvw1          Source: 14.67 +/- 0.03 (stat) +/- 0.03 (sys)  248.52 12.9 nuvb
sn2011fe  114.854  uvm2          Source: 11.12 +/- 1.09 (stat) +/- 0.03 (sys)  6813.85 4.29 nuvb
sn2011fe  114.854  uvw1          Source: 11.78 +/- 1.09 (stat) +/- 0.03 (sys)  3539.95 4.29 nuvb
sn2011hb  3.30724  uvm2          Source: 19.59 +/- 0.14 (stat) +/- 0.03 (sys)  1454.46 128.85 nuvr
sn2011im  5.79943  uvm2          Source: 19.59 +/- 0.18 (stat) +/- 0.03 (sys)  1039.95 74.37 nuvr
sn2011im  5.79943  uvw1          Source: 19.13 +/- 0.14 (stat) +/- 0.03 (sys)  1040.65 74.37 nuvr
sn2011iv  14.3069  uvm2          Source: 15.23 +/- 0.02 (stat) +/- 0.03 (sys)  2465.06 30.25 NN
sn2011iv  14.3069  uvw1          Source: 14.10 +/- 0.02 (stat) +/- 0.03 (sys)  1101.18 30.25 NN
sn2012cg  63.3862  uvm2          Source: 13.46 +/- 1.09 (stat) +/- 0.03 (sys)  2856.04 8.59 B
sn2012cg  63.3862  uvw1          Source: 12.22 +/- 1.09 (stat) +/- 0.03 (sys)  249.51 8.59 B
sn2012hr  11.6458  uvw1          Source: 18.61 +/- 0.21 (stat) +/- 0.03 (sys)  416.85 34.63 nuvr
sn2012hr  11.6458  uvm2          Source: 19.01 +/- 0.16 (stat) +/- 0.03 (sys)  1399.09 34.63 nuvr
sn2012ht  26.0347  uvm2          Source: 14.86 +/- 0.01 (stat) +/- 0.03 (sys)  1474.42 17.22 nuvb
sn2012ht  26.0347  uvw1          Source: 14.16 +/- 0.01 (stat) +/- 0.03 (sys)  588.85 17.22 nuvb
sn2012ij  8.50255  uvm2          Source: 18.70 +/- 0.18 (stat) +/- 0.03 (sys)  809.68 47.79 I
sn2012ij  8.50255  uvw1          Source: 17.07 +/- 0.08 (stat) +/- 0.03 (sys)  350.91 47.79 I
sn2012T  3.66319  uvm2          Source: 18.13 +/- 0.16 (stat) +/- 0.03 (sys)  245.74 115.1 AAAAA
sn2012T  3.66319  uvw1          Source: 17.58 +/- 0.14 (stat) +/- 0.03 (sys)  106.06 115.1 AAAAA
sn2012V  8.50102  uvw1          Source: 18.78 +/- 0.20 (stat) +/- 0.03 (sys)  467.55 47.79 nuvr
sn2013aa  23.1828  uvw1          Source: 16.93 +/- 0.06 (stat) +/- 0.03 (sys)  1423.33 17.23 nuvb
sn2013aa  23.1828  uvm2          Source: 17.98 +/- 0.12 (stat) +/- 0.03 (sys)  2613.01 17.23 nuvb
sn2013dy  23.8292  uvm2          Source: 14.12 +/- 0.02 (stat) +/- 0.03 (sys)  892.32 17.22 B
sn2013dy  23.8292  uvw1          Source: 14.00 +/- 0.01 (stat) +/- 0.03 (sys)  323.10 17.22 B
sn2013E  9.91489  uvm2          Source: 18.44 +/- 0.22 (stat) +/- 0.03 (sys)  346.50 43.37 nuvr
sn2013E  9.91489  uvw1          Source: 17.81 +/- 0.14 (stat) +/- 0.03 (sys)  401.09 43.37 nuvr
sn2013eh  26.4724  uvm2          Source: 16.41 +/- 0.06 (stat) +/- 0.03 (sys)  601.29 156.69 nuvb
sn2013eh  26.4724  uvw1          Source: 16.28 +/- 0.08 (stat) +/- 0.03 (sys)  216.29 156.68 nuvb
sn2013ex  8.95  uvm2          Source: 17.67 +/- 0.05 (stat) +/- 0.03 (sys)  1965.41 47.77 nuvr
sn2013ex  8.95  uvw1          Source: 17.22 +/- 0.05 (stat) +/- 0.03 (sys)  797.23 47.77 nuvr
sn2013fw  5.55667  uvm2          Source: 17.62 +/- 0.06 (stat) +/- 0.03 (sys)  1595.25 74.42 nuvr
sn2013fw  5.55667  uvw1          Source: 17.41 +/- 0.06 (stat) +/- 0.03 (sys)  799.08 74.42 nuvr
sn2013gh  10.5976  uvm2          Source: 18.22 +/- 0.16 (stat) +/- 0.03 (sys)  688.26 39.0 nuvr
sn2013gh  10.5976  uvw1          Source: 16.61 +/- 0.08 (stat) +/- 0.03 (sys)  293.81 39.0 nuvr
sn2013gs  5.57729  uvm2          Source: 18.30 +/- 0.12 (stat) +/- 0.03 (sys)  628.93 74.41 nuvr
sn2013gs  5.57729  uvw1          Source: 18.29 +/- 0.17 (stat) +/- 0.03 (sys)  229.83 74.41 nuvr
sn2014ap  4.12589  uvm2          Source: 19.75 +/- 0.20 (stat) +/- 0.03 (sys)  1237.75 101.44 nuvr
sn2014ap  4.12589  uvw1          Source: 18.92 +/- 0.19 (stat) +/- 0.03 (sys)  466.78 101.44 nuvr
sn2014at  3.19024  uvm2          Source: 19.47 +/- 0.15 (stat) +/- 0.03 (sys)  1394.27 133.47 nuvb
sn2014bv  16.6054  uvw1          Source: 17.34 +/- 0.10 (stat) +/- 0.03 (sys)  421.56 25.9 NN
sn2015bp  22.7859  uvw1          Source: 17.05 +/- 0.21 (stat) +/- 0.03 (sys)  98.18 21.54 NN
sn2016ajf  4.72743  uvw1          Source: 18.91 +/- 0.08 (stat) +/- 0.03 (sys)  3595.99 87.88 F
sn2016asf  4.50781  uvm2          Source: 20.08 +/- 0.30 (stat) +/- 0.03 (sys)  332.41 92.39 nuvr
sn2016asf  4.50781  uvw1          Source: 18.77 +/- 0.21 (stat) +/- 0.03 (sys)  118.87 92.39 nuvr
sn2016bfu  9.33963  uvm2          Source: 17.91 +/- 0.08 (stat) +/- 0.03 (sys)  1377.25 43.39 F
sn2016bfu  9.33963  uvw1          Source: 17.59 +/- 0.08 (stat) +/- 0.03 (sys)  525.85 43.39 F
sn2016F  5.88043  uvm2          Source: 18.75 +/- 0.14 (stat) +/- 0.03 (sys)  797.60 69.96 nuvr
